energia,potencia_max,frecuencia_potencia_max,media_espectro,var_espectro,max_espectro,entropia,min_espectro,no_cero_crossing,no_mean_crossing,n5,n25,n75,n95,mediana,media,std,varianza,rms,Tipo_Sismo
24.53833133719842,0.00012159661456439309,3.90625,0.00012775239731426644,5.3019834504918205e-06,0.14645085012067277,5.307720722720142e-22,9.605620455025981,204.0,195.0,-0.015323381883825217,-0.0001873980470015017,0.00034720179926384104,0.022931974600996958,2.0669022837285097e-12,0.0002804790504370999,0.04065165179090104,0.0016525567933286679,0.011185555130329174,sisLoc
0.0008564019819333398,2.3006172726562162e-09,39.0625,1.995403063821811e-06,2.0598000257173453e-10,0.000409220865999185,2.4128556939895862e-25,9.605620455025981,468.0,451.0,-0.00016589151794994185,-3.784440411721974e-09,1.3102569266188183e-08,0.00017209371127539972,7.954221965167563e-16,-4.5707349653639863e-07,0.00024016187517892712,5.767772628945857e-08,5.474878172387601e-05,sisLoc
2.880989558842123e-08,8.457749035870137e-14,46.875,1.3609109387903133e-08,6.728884611407931e-15,2.4960174976208567e-06,1.951416160527301e-27,9.605620455025981,624.0,605.0,-1.158634345403639e-06,-1.808233771486724e-10,8.31605253067639e-11,1.1841249002371609e-06,-2.1945063235519962e-18,-2.6306124612931907e-09,1.39295179803228e-06,1.9403147116413612e-12,3.6759010411880376e-07,sisLoc
32.0733976850021,0.00016052528782940212,3.90625,0.00012122116851271102,6.9374092051730625e-06,0.16820346315812537,1.1636906104366705e-20,9.605620455025981,182.0,172.0,-0.017225338358830833,-0.00033440183328295133,0.0001247302373349265,0.018401366326526523,-1.8655262325389797e-11,-0.00010250601408720262,0.04647693166637836,0.002160105177121204,0.011788698964476577,sisLoc
0.0008979447896099415,2.8169256345714814e-09,39.0625,1.3787465186353196e-06,2.261552687080727e-10,0.0004882199725023761,1.606778515809708e-25,9.605620455025981,427.0,409.0,-0.00010020537915578208,-3.5446865016757494e-09,1.3865216318231916e-08,0.00010011837770359922,9.536273275794215e-16,3.116154100063824e-07,0.00024591809690571763,6.047571038572992e-08,3.501849505050414e-05,sisLoc
2.6039339901240327e-08,8.901428369018884e-14,46.875,8.399198369537868e-09,6.525072774644708e-15,2.7183126551779533e-06,2.4538674014866205e-27,9.605620455025981,512.0,493.0,-5.27147820314328e-07,-5.499531165063896e-11,6.595118877556467e-11,5.25975577881362e-07,-4.285094608818352e-19,1.8158741641889007e-09,1.3242823706607077e-06,1.7537237972427442e-12,1.990320580557194e-07,sisLoc
12.059253237289187,5.8961733148245455e-05,3.90625,8.283580317607112e-05,2.6197087297200465e-06,0.10179254794161562,2.9669348946175375e-22,9.605620455025981,75.0,63.0,-0.021452250050297595,-6.024530428484975e-06,8.815442554571033e-06,0.011908516955879208,3.888176819222187e-14,-0.0003895722341816487,0.028496114526331797,0.0008120285430978181,0.007720736739222191,sisLoc
0.00042209887258462433,9.19158375056989e-10,39.0625,1.2911419464069785e-06,1.0600915648017786e-10,0.00027819209021968065,3.992129218484083e-28,9.605620455025981,321.0,299.0,-4.1378088976547175e-05,-1.7245300259277143e-10,4.053433728500757e-10,4.011139147126841e-05,1.1638541547124981e-17,5.254348934036106e-07,0.0001686052167295212,2.842771910840881e-08,1.883019762404087e-05,sisLoc
1.3618969712642914e-08,3.4264563956493926e-14,46.875,8.221047168968349e-09,3.385432018086449e-15,1.6740041365093583e-06,6.23113689018345e-29,9.605620455025981,422.0,403.0,-2.6340749317263623e-07,-1.2822110619323758e-12,1.9031285335990758e-12,2.548447722833966e-07,-6.628808569991062e-22,2.8132977383315453e-09,9.57714965431367e-07,9.172179550112044e-13,1.2234600692660195e-07,sisLoc
12.059253237289187,5.8961733148245455e-05,3.90625,8.283580317607112e-05,2.6197087297200465e-06,0.10179254794161562,2.9669348946175375e-22,9.605620455025981,75.0,63.0,-0.021452250050297595,-6.024530428484975e-06,8.815442554571033e-06,0.011908516955879208,3.888176819222187e-14,-0.0003895722341816487,0.028496114526331797,0.0008120285430978181,0.007720736739222191,sisLoc
0.00042209887258462433,9.19158375056989e-10,39.0625,1.2911419464069785e-06,1.0600915648017786e-10,0.00027819209021968065,3.992129218484083e-28,9.605620455025981,321.0,299.0,-4.1378088976547175e-05,-1.7245300259277143e-10,4.053433728500757e-10,4.011139147126841e-05,1.1638541547124981e-17,5.254348934036106e-07,0.0001686052167295212,2.842771910840881e-08,1.883019762404087e-05,sisLoc
1.3618969712642914e-08,3.4264563956493926e-14,46.875,8.221047168968349e-09,3.385432018086449e-15,1.6740041365093583e-06,6.23113689018345e-29,9.605620455025981,422.0,403.0,-2.6340749317263623e-07,-1.2822110619323758e-12,1.9031285335990758e-12,2.548447722833966e-07,-6.628808569991062e-22,2.8132977383315453e-09,9.57714965431367e-07,9.172179550112044e-13,1.2234600692660195e-07,sisLoc
31.27441854847748,0.00015687254454594454,3.90625,0.00011120828776090641,6.7733449596263344e-06,0.16614150038837378,5.674394189301797e-23,9.605620455025981,65.0,51.0,-0.01707309751597122,-1.2348570600951617e-06,1.0992537548573443e-06,0.018147463698578076,-2.7909649588730145e-14,-7.872555687995414e-05,0.045894432459951034,0.0021062989308210074,0.011219303902564044,sisLoc
0.0008482550064969648,2.555065560699891e-09,39.0625,1.0449049076741961e-06,2.1440600033911955e-10,0.0004704705231797362,6.390081481081298e-28,9.605620455025981,289.0,267.0,-7.964907369126982e-05,-1.998307262370564e-11,7.642566645208302e-11,7.671730047937182e-05,3.1221468049338734e-18,1.573216935671687e-07,0.00023901719327935254,5.712921868313937e-08,2.7778986112375862e-05,sisLoc
